Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,Preterm Birth - College Graduate,South Carolina,,9.7,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - High School Graduate,South Carolina,,11.8,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Hispanic,South Carolina,,9.3,,,,AHR data,
2018,2018 HWC,Preterm Birth - Less than High School,South Carolina,,12.3,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 15-19,South Carolina,,10.3,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 20-24,South Carolina,,10.4,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 25-29,South Carolina,,10.5,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 30-34,South Carolina,,10.9,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 35-39,South Carolina,,14.1,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 40-44,South Carolina,,14.2,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - Mother Aged 45-49,South Carolina,,27.1,,,,AHR data,
2018,2018 HWC,Preterm Birth - Mother Aged 50+,South Carolina,,,,,,AHR data,
2018,2018 HWC,Preterm Birth - Mother Aged Less than 15,South Carolina,,,,,,AHR data,
2018,2018 HWC,Preterm Birth - Some College,South Carolina,,11.5,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth - White,South Carolina,,9.4,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Protective Family Routines and Habits (Ages 0-17),South Carolina,41,10.8,-0.44,,,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Publicly-Funded Women's Health Services,South Carolina,12,31,0.45,,,Guttmacher Institute,2014
2018,2018 HWC,Sleep Position,South Carolina,,76.5,-0.33,82.4,70.6,"CDC, Pregnancy Risk Assessment Monitoring System; California Department of Public Health, Maternal and Infant Health Assessment",2015
2018,2018 HWC,Smoking - Women,South Carolina,29,18.3,0.52,20,16.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Smoking - Women - $25-$49,999",South Carolina,23,20.5,0.22,24.8,16.1,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Smoking - Women - $50-$74,999",South Carolina,0,11.5,0,15.7,7.2,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
